qtr,ticker,CFO,CFO_size,ACCRUAL,dMARGIN,intercept,pred_beats_mkt
2019_2,KMI,0.22612393013580634,0.22612393013580634,0.6785134665581599,0.8726117977975123,1,0.5264469889784039
2019_2,FDX,0.23999780070743915,0.23999780070743915,0.6843769679702182,0.871452639871382,1,0.5238865810786872
2019_2,INTU,0.2392280483111266,0.2392280483111266,0.6855692692855324,0.8712998036185727,1,0.5231070220408157
2019_2,TMUS,0.25275369756061805,0.25275369756061805,0.6870881746607477,0.8720452301743624,1,0.5200932494220408
2019_2,CMCSA,0.32705313124278357,0.32705313124278357,0.6936292630886666,0.8707129357989579,1,0.5183039694217443
2019_2,STZ,0.2088979711526126,0.2088979711526126,0.6920615796850171,0.8705364995235093,1,0.5182608302697309
2019_2,WM,0.2165386800579147,0.2165386800579147,0.6901149198592489,0.8714234009052803,1,0.5181070397200414
2019_2,D,0.21895790187489694,0.21895790187489694,0.6917598050557495,0.8708525727470698,1,0.5179545345392991
2019_2,T,0.45981709216868577,0.45981709216868577,0.6957338755785406,0.8710907867808965,1,0.5175935933213074
2019_2,PENN,0.20150129208437956,0.19802796767039937,0.6730255907174141,0.8721347849505371,1,0.51707803659044
2019_2,RSG,0.20869270384692926,0.20869270384692926,0.691292804984235,0.8716846719523756,1,0.5162264293501866
2019_2,ED,0.21771163609039096,0.21771163609039096,0.6888924004502435,0.8733016703177086,1,0.5147702636410789
2019_2,TSLA,0.2138556530982534,0.2138556530982534,0.6958543482611349,0.8710433361159083,1,0.5135108679948893
2019_2,EQIX,0.20797835529571324,0.20797835529571324,0.6935529136405775,0.8719618155810692,1,0.5133945403097717
2019_2,ES,0.20798255227901694,0.20798255227901694,0.6927658753484583,0.872415228405405,1,0.5130527724882465
2019_2,MOS,0.20311566446126497,0.19802796767039937,0.6876014834548779,0.8653415706462502,1,0.5124407492212055
2019_2,CI,0.21707017576013052,0.21707017576013052,0.7162332534696323,0.8635673501831926,1,0.5121483698558696
2019_2,TDG,0.20380111064274328,0.20380111064274328,0.7082398546385847,0.8667665943141489,1,0.5118408405323571
2019_2,MAR,0.2087861737807672,0.2087861737807672,0.7015158691036175,0.8696910339336998,1,0.5112885373092444
2019_2,INTC,0.3370782398328538,0.3370782398328538,0.7017425667999988,0.8707852813550842,1,0.5105676344702768
2019_2,OKE,0.20928733757308068,0.20928733757308068,0.6939858949894663,0.8732624065632291,1,0.5098718130208613
2019_2,PEG,0.2091343951029086,0.2091343951029086,0.6993224539299489,0.8711786289890565,1,0.5098020224654897
2019_2,WEC,0.20820885948353282,0.20820885948353282,0.6970400342163766,0.8722017839528619,1,0.5094976579749545
2019_2,VZ,0.35848468742554485,0.35848468742554485,0.6988729111303131,0.8725564526116767,1,0.5093922543067596
2019_2,WDC,0.2011253046936569,0.19802796767039937,0.7096422756508456,0.8616709526117812,1,0.5090410821203226
2019_2,ADI,0.21032351593570736,0.21032351593570736,0.700414239661968,0.8710886147434146,1,0.5089980353374552
2019_2,CRM,0.23404138335502084,0.23404138335502084,0.6989489025309021,0.8718857107293013,1,0.5088686559420076
2019_2,AMZN,0.3651375474222459,0.3651375474222459,0.7021227110878987,0.8716989990457655,1,0.5084706446835437
2019_2,GPN,0.19879568572109307,0.19802796767039937,0.7142935238186345,0.8644168256883532,1,0.5082541306453153
2019_2,INFO,0.20581163059215954,0.20581163059215954,0.7016460831100796,0.8709611746211623,1,0.5080559691207679
2019_2,CVX,0.3589978556897532,0.3589978556897532,0.7010988820406808,0.8722811886308041,1,0.507942196766928
2019_2,ADSK,0.2020819969576453,0.2020819969576453,0.6998746877915951,0.8717307859789134,1,0.5078286339108579
2019_2,EXC,0.23200703773619488,0.23200703773619488,0.7021169161249329,0.871069943575061,1,0.507780270213016
2019_2,COP,0.25101259094991113,0.25101259094991113,0.7026761891886779,0.8710108808635354,1,0.5077051235734213
2019_2,HD,0.28440518299946854,0.28440518299946854,0.7034952774526704,0.8712930786563693,1,0.5067992359066067
2019_2,JKHY,0.20165238348331288,0.19802796767039937,0.6869234538675146,0.8706566716741878,1,0.5067297981287927
2019_2,MPC,0.24608251012590954,0.24608251012590954,0.7040452773183403,0.8709012765106051,1,0.506582243994986
