date,PENN,KHC,FANG,CHTR,NCLH,CCL,RCL
2017-04-28,1698312000.0,111089310000.0,9325056000.0,94228680000.0,12326022491.36,44906790000.0,23004280000.0
2017-05-01,1683608000.0,109958630000.0,9242864000.0,93950220000.0,12547721764.8,45473850000.0,23394878000.0
2017-05-02,1701069000.0,109381000000.0,9188692000.0,92189370000.0,12584290717.12,45582900000.0,23321506000.0
2017-05-03,1740586000.0,109553060000.0,9366152000.0,88585770000.0,12547721764.8,45539280000.0,23327980000.0
2017-05-04,1716692000.0,110241300000.0,8892614000.0,88069800000.0,12534008407.68,45779190000.0,23289136000.0
2017-05-05,1733234000.0,110155270000.0,9307310000.0,91394940000.0,12682569776.48,45815540000.0,23440196000.0
2017-05-08,1712097000.0,109970920000.0,9397908000.0,88400130000.0,12593432955.2,45604710000.0,23299926000.0
2017-05-09,1719449000.0,109626800000.0,9304508000.0,88866960000.0,12748851002.56,45960940000.0,23483356000.0
2017-05-10,1769075000.0,109786570000.0,9562292000.0,88883340000.0,12358020324.64,45175780000.0,23379772000.0
2017-05-11,1718530000.0,109725120000.0,9468892000.0,88618530000.0,12102037658.4,45066730000.0,23362508000.0
2017-05-12,1738748000.0,109319550000.0,9517460000.0,87906000000.0,11770631528.0,44485130000.0,23213606000.0
2017-05-15,1745181000.0,109934050000.0,9646352000.0,87652110000.0,11770631528.0,44281570000.0,23332296000.0
2017-05-16,1822060000.0,109516190000.0,10229664000.0,85442670000.0,11512150331.76,44492400000.0,23196174000.0
2017-05-17,1759616000.0,110007790000.0,10016136000.0,83600370000.0,10999583908.72,43438250000.0,22398765000.0
2017-05-18,1781984000.0,110806640000.0,9999408000.0,84339960000.0,11239849419.52,44376080000.0,22686178000.0
2017-05-19,1804352000.0,110954120000.0,10147008000.0,84313260000.0,11290190764.64,44710500000.0,22939015000.0
2017-05-22,1833244000.0,112060220000.0,10061400000.0,84484140000.0,11557915190.96,45110350000.0,23168081000.0
2017-05-23,1823924000.0,112908230000.0,9903960000.0,85116930000.0,11345108595.68,45015840000.0,23152954000.0
2017-05-24,1816468000.0,113793110000.0,9778008000.0,87853680000.0,11358838053.44,45088540000.0,23377698000.0
